win,time,score,alg
False,12.447788000000001,-751,minimax
True,5.2090799,707,minimax
True,6.1491789,642,minimax
True,5.690099,707,expectimax
True,6.627911,619,minimax
True,6.1628272,644,minimax
True,6.736452399999999,620,minimax
True,6.2159044,633,expectimax
True,5.6370901,673,expectimax
True,5.148828,707,minimax
True,10.177253199999999,410,minimax
True,5.435255700000001,707,expectimax
True,5.8796571,668,minimax
True,7.1612637999999995,596,expectimax
True,6.806289100000001,612,minimax
True,7.5458464,572,minimax
True,5.5819793,688,expectimax
True,5.368099,707,expectimax
True,5.0883675,707,expectimax
True,6.443575999999999,625,minimax
True,7.281141300000001,576,minimax
True,5.2933344,707,expectimax
True,5.0582442,702,expectimax
True,5.1818131,707,minimax
False,6.8241302,-401,minimax
True,4.9929152000000006,708,expectimax
False,6.8507657,-401,minimax
True,5.0214887,708,expectimax
True,5.190213399999999,707,expectimax
False,6.9454941,-401,minimax
True,6.436210399999999,631,minimax
True,5.4375924,708,expectimax
True,5.0156864,708,expectimax
True,6.319142199999999,636,minimax
True,5.2716146,708,expectimax
